2026-08-08 15:24:46 | WARNING  | main | RESPONSE GET /.svn/entries → 404 (12.2ms)
2026-08-08 15:24:47 | WARNING  | main | RESPONSE GET /.svn/wc.db → 404 (11.6ms)
2026-08-08 15:24:47 | WARNING  | main | RESPONSE GET /.hg/ → 404 (2.0ms)
2026-08-08 15:24:48 | WARNING  | main | RESPONSE GET /.hg/store/data/ → 404 (1.9ms)
2026-08-08 15:24:48 | WARNING  | main | RESPONSE GET /.bzr/ → 404 (1.8ms)
2026-08-08 15:24:48 | WARNING  | main | RESPONSE GET /CVS/ → 404 (1.9ms)
2026-08-08 15:24:49 | WARNING  | main | RESPONSE GET /.gitignore → 404 (2.8ms)
2026-08-08 15:24:49 | WARNING  | main | RESPONSE GET /.gitattributes → 404 (2.2ms)
2026-08-08 15:24:49 | WARNING  | main | RESPONSE GET /.gitlab-ci.yml → 404 (2.3ms)
2026-08-08 15:24:50 | WARNING  | main | RESPONSE GET /.github/ → 404 (1.9ms)
2026-08-08 15:24:50 | WARNING  | main | RESPONSE GET /error.log → 404 (2.7ms)
2026-08-08 15:24:51 | WARNING  | main | RESPONSE GET /access.log → 404 (1.9ms)
2026-08-08 15:24:51 | WARNING  | main | RESPONSE GET /debug.log → 404 (57.5ms)
2026-08-08 15:24:52 | WARNING  | main | RESPONSE GET /laravel.log → 404 (90.1ms)
2026-08-08 15:24:52 | WARNING  | main | RESPONSE GET /app.log → 404 (2.6ms)
2026-08-08 15:24:52 | WARNING  | main | RESPONSE GET /storage/logs/laravel.log → 404 (17.2ms)
2026-08-08 15:24:53 | WARNING  | main | RESPONSE GET /php_error.log → 404 (2.2ms)
2026-08-08 15:24:53 | WARNING  | main | RESPONSE GET /php_errors.log → 404 (1.8ms)
2026-08-08 15:24:53 | WARNING  | main | RESPONSE GET /logs/ → 404 (1.9ms)
2026-08-08 15:24:54 | WARNING  | main | RESPONSE GET /log/ → 404 (1.8ms)
2026-08-08 15:24:54 | WARNING  | main | RESPONSE GET /tmp/ → 404 (19.6ms)
2026-08-08 15:24:55 | WARNING  | main | RESPONSE GET /temp/ → 404 (1.8ms)
2026-08-08 15:24:55 | WARNING  | main | RESPONSE GET //admin → 404 (2.1ms)
2026-08-08 15:24:55 | WARNING  | main | RESPONSE GET //administrator → 404 (1.8ms)
2026-08-08 15:24:56 | WARNING  | main | RESPONSE GET //adminpanel → 404 (2.0ms)
2026-08-08 15:24:56 | WARNING  | main | RESPONSE GET //admin/login → 404 (1.9ms)
2026-08-08 15:24:56 | WARNING  | main | RESPONSE GET //admin.php → 404 (16.3ms)
2026-08-08 15:24:57 | WARNING  | main | RESPONSE GET //api/ → 404 (2.0ms)
2026-08-08 15:24:57 | WARNING  | main | RESPONSE GET //api/v1/ → 404 (27.5ms)
2026-08-08 15:24:58 | WARNING  | main | RESPONSE GET //api/v2/ → 404 (2.3ms)
2026-08-08 15:24:58 | WARNING  | main | RESPONSE GET //api/docs → 404 (2.0ms)
2026-08-08 15:24:58 | WARNING  | main | RESPONSE GET //swagger → 404 (1.5ms)
2026-08-08 15:24:59 | WARNING  | main | RESPONSE GET //swagger-ui.html → 404 (2.0ms)
2026-08-08 15:24:59 | WARNING  | main | RESPONSE GET //openapi.json → 404 (2.2ms)
2026-08-08 15:25:00 | WARNING  | main | RESPONSE GET //graphql → 404 (101.7ms)
2026-08-08 15:25:00 | WARNING  | main | RESPONSE GET //graphiql → 404 (1.8ms)
2026-08-08 15:25:00 | WARNING  | main | RESPONSE GET //actuator → 404 (2.0ms)
2026-08-08 15:25:01 | WARNING  | main | RESPONSE GET //actuator/env → 404 (1.9ms)
2026-08-08 15:25:01 | WARNING  | main | RESPONSE GET //actuator/configprops → 404 (7.9ms)
2026-08-08 15:25:02 | WARNING  | main | RESPONSE GET //actuator/heapdump → 404 (7.8ms)
2026-08-08 15:25:02 | WARNING  | main | RESPONSE GET //phpinfo.php → 404 (1.8ms)
2026-08-08 15:25:02 | WARNING  | main | RESPONSE GET //info.php → 404 (1.8ms)
2026-08-08 15:25:03 | WARNING  | main | RESPONSE GET //phpmyadmin → 404 (1.9ms)
2026-08-08 15:25:03 | WARNING  | main | RESPONSE GET //pma → 404 (8.5ms)
2026-08-08 15:25:03 | WARNING  | main | RESPONSE GET //debug → 404 (8.9ms)
2026-08-08 15:25:04 | WARNING  | main | RESPONSE GET //console → 404 (2.5ms)
2026-08-08 15:25:04 | WARNING  | main | RESPONSE GET //_debug → 404 (2.2ms)
